name,slottime_GMT,slottype,slotavg,pointTitle
SneeHall.CW.FP/TONS,2022-04-11 22:00:00,H,40.654000000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-11 22:00:00,H,121.575000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-11 22:00:00,H,0.075000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-11 22:00:00,H,354.747650000,Steam
SneeHall.CW.FP/TONS,2022-04-11 23:00:00,H,31.490325000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-11 23:00:00,H,122.625000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-11 23:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-11 23:00:00,H,362.358000000,Steam
SneeHall.CW.FP/TONS,2022-04-12 00:00:00,H,26.422775000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 00:00:00,H,127.925000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 00:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 00:00:00,H,419.994725000,Steam
SneeHall.CW.FP/TONS,2022-04-12 01:00:00,H,17.997970000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 01:00:00,H,127.425000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 01:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 01:00:00,H,379.800450000,Steam
SneeHall.CW.FP/TONS,2022-04-12 02:00:00,H,9.758892500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 02:00:00,H,116.800000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 02:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 02:00:00,H,348.256450000,Steam
SneeHall.CW.FP/TONS,2022-04-12 03:00:00,H,5.900387500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 03:00:00,H,113.750000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 03:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 03:00:00,H,288.044675000,Steam
SneeHall.CW.FP/TONS,2022-04-12 04:00:00,H,8.086180000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 04:00:00,H,113.325000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 04:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 04:00:00,H,280.520275000,Steam
SneeHall.CW.FP/TONS,2022-04-12 05:00:00,H,9.035472500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 05:00:00,H,108.500000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 05:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 05:00:00,H,281.132425000,Steam
SneeHall.CW.FP/TONS,2022-04-12 06:00:00,H,6.653132500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 06:00:00,H,109.575000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 06:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 06:00:00,H,277.619500000,Steam
SneeHall.CW.FP/TONS,2022-04-12 07:00:00,H,10.577237500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 07:00:00,H,111.950000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 07:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 07:00:00,H,289.223625000,Steam
SneeHall.CW.FP/TONS,2022-04-12 08:00:00,H,15.801325000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 08:00:00,H,120.975000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 08:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 08:00:00,H,314.519825000,Steam
SneeHall.CW.FP/TONS,2022-04-12 09:00:00,H,10.750817500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 09:00:00,H,125.800000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 09:00:00,H,0.000000000,Photovoltaic Power Production
